Game_Date	Day_of_Week	Home_Team	Day_or_Night	Home_Game_Number	Attendance	Prior_Attendance	Prior_Wins
2013-04-24	Wed	SFN	D	12	41756	41159	88
2013-04-24	Wed	WAS	D	12	33694	16274	96
2013-04-24	Wed	BAL	D	12	14981	31793	96
2013-04-24	Wed	BOS	D	12	29274	37223	71
2013-04-24	Wed	CHA	D	10	16765	20057	73
2013-04-24	Wed	DET	N	7	30347	30029	90
2013-04-24	Wed	HOU	D	12	11686	19442	70
2013-04-24	Wed	CIN	D	16	16426	42294	76
2013-04-24	Wed	COL	D	12	35234	36690	66
2013-04-25	Thu	BOS	N	13	30093	37581	71
2013-04-25	Thu	CHA	N	11	15056	22811	73
2013-04-25	Thu	DET	D	8	30321	41427	90
2013-04-25	Thu	DET	D	8	30321	35001	90
2013-04-25	Thu	MIN	N	10	25459	33315	70
2013-04-25	Thu	ARI	N	10	24532	28679	64
2013-04-25	Thu	MIA	N	10	15394	34918	77
2013-04-25	Thu	NYA	N	10	31445	43084	84
2013-04-25	Thu	OAK	N	11	11220	10574	88
2013-04-25	Thu	SEA	N	11	13012	28437	87
2013-04-25	Thu	NYN	D	12	24851	20623	79
2013-04-25	Thu	PHI	D	14	33443	44056	73
2013-04-25	Thu	WAS	N	13	24748	19656	96
2013-04-26	Fri	NYA	N	11	36151	36890	84
2013-04-26	Fri	OAK	N	12	16944	11184	88
2013-04-26	Fri	SEA	N	12	31545	23913	87
2013-04-26	Fri	NYN	N	13	21582	20660	79
2013-04-26	Fri	SDN	N	10	34929	31437	77
2013-04-26	Fri	SLN	N	7	44090	43063	90
2013-04-26	Fri	WAS	N	14	32995	34377	96
2013-04-26	Fri	BOS	N	14	29312	37394	71
2013-04-26	Fri	CHA	N	12	20008	15212	73
2013-04-26	Fri	DET	N	9	35161	41427	90
2013-04-26	Fri	DET	N	9	35161	35001	90
2013-04-26	Fri	MIN	N	11	27404	34201	70
2013-04-26	Fri	ARI	N	11	28801	21195	64
2013-04-26	Fri	LAN	N	10	44930	44807	94
2013-04-26	Fri	MIA	N	11	16017	31006	77
2013-04-27	Sat	BOS	N	15	34726	37348	71
2013-04-27	Sat	CHA	N	13	25270	15192	73
2013-04-27	Sat	DET	D	10	42881	36255	90
2013-04-27	Sat	KCA	N	7	19224	23065	89
2013-04-27	Sat	MIN	D	12	37503	31382	70
2013-04-27	Sat	ARI	N	12	31019	24213	64
2013-04-27	Sat	LAN	N	11	50224	54242	94
2013-04-27	Sat	MIA	N	12	27519	31007	77
2013-04-27	Sat	NYA	D	12	40258	37790	84
2013-04-27	Sat	OAK	D	13	31292	13032	88
2013-04-27	Sat	SEA	N	13	31914	14462	87
2013-04-27	Sat	NYN	D	14	29248	26995	79
2013-04-27	Sat	SDN	N	11	38823	26759	77
2013-04-27	Sat	SLN	D	8	40909	42586	90
2013-04-27	Sat	WAS	D	15	38903	39496	96
2013-04-28	Sun	NYA	D	13	36872	39360	84
2013-04-28	Sun	OAK	D	14	27475	10784	88
2013-04-28	Sun	SEA	D	14	20648	13455	87
2013-04-28	Sun	NYN	D	15	28990	30253	79
2013-04-28	Sun	SDN	D	12	33722	16599	77
2013-04-28	Sun	SLN	D	9	41470	45824	90
2013-04-28	Sun	WAS	D	16	36457	33058	96
2013-04-28	Sun	BOS	D	16	36527	37438	71
2013-04-28	Sun	CHA	D	14	22677	17314	73
2013-04-28	Sun	DET	N	11	33469	30073	90
2013-04-28	Sun	KCA	D	8	22001	27804	89
2013-04-28	Sun	KCA	D	9	22001	26891	89
2013-04-28	Sun	KCA	N	8	19831	27804	89
2013-04-28	Sun	KCA	N	9	19831	26891	89
2013-04-28	Sun	MIN	D	13	35751	30776	70
2013-04-28	Sun	ARI	D	13	24852	25934	64
2013-04-28	Sun	LAN	D	12	49003	48753	94
2013-04-28	Sun	MIA	D	13	19817	32128	77
2013-04-29	Mon	DET	N	12	29878	28527	90
2013-04-29	Mon	KCA	N	10	14255	13267	89
2013-04-29	Mon	ARI	N	14	18036	26447	64
2013-04-29	Mon	ATL	N	9	22870	30419	79
2013-04-29	Mon	CHN	N	9	32169	38405	73
2013-04-29	Mon	LAN	N	13	31570	43713	94
